rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0033.jpg,13.2,0.8956,0.7912,1.0,1.0,11,6,False,True
2,frame_0016.jpg,6.4,0.8851,0.7703,1.0,1.0,8,6,False,True
3,frame_0002.jpg,0.8,0.767,0.834,0.5,1.0,7,3,False,True
4,frame_0124.jpg,49.6,0.7349,0.7978,0.6667,0.68,11,4,False,True
5,frame_0374.jpg,149.6,0.7348,0.8897,0.8333,0.2,11,5,False,True
6,frame_0005.jpg,2.0,0.6933,0.6866,0.5,1.0,5,3,False,False
7,frame_0133.jpg,53.2,0.6932,0.6865,0.5,1.0,8,3,False,True
8,frame_0007.jpg,2.8,0.6894,0.7788,0.3333,1.0,4,2,False,False
9,frame_0307.jpg,122.8,0.6888,0.6976,1.0,0.2,10,6,False,True
10,frame_0385.jpg,154.0,0.6808,0.6816,1.0,0.2,14,6,False,True
11,frame_0292.jpg,116.8,0.6674,0.7148,0.5,0.8,7,3,False,True
12,frame_0232.jpg,92.8,0.6664,0.7528,0.8333,0.2,10,5,False,True
13,frame_0319.jpg,127.6,0.6663,0.7206,0.8333,0.28,12,5,False,True
14,frame_0076.jpg,30.4,0.6642,0.6604,0.5,0.92,8,3,False,True
15,frame_0004.jpg,1.6,0.6609,0.7218,0.3333,1.0,8,2,False,False
16,frame_0367.jpg,146.8,0.6539,0.8757,0.6667,0.08,9,4,False,False
17,frame_0021.jpg,8.4,0.6511,0.7022,0.3333,1.0,5,2,False,False
18,frame_0325.jpg,130.0,0.6494,0.8827,0.6667,0.04,11,4,False,False
19,frame_0181.jpg,72.4,0.6488,0.8815,0.6667,0.04,6,4,False,False
20,frame_0017.jpg,6.8,0.6423,0.5847,0.5,1.0,8,3,False,False
21,frame_0276.jpg,110.4,0.6413,0.8866,0.5,0.24,11,3,False,False
22,frame_0170.jpg,68.0,0.6408,0.6896,0.6667,0.48,10,4,False,False
23,frame_0388.jpg,155.2,0.6371,0.7102,0.8333,0.16,12,5,False,False
24,frame_0375.jpg,150.0,0.6315,0.783,0.6667,0.2,8,4,False,False
25,frame_0074.jpg,29.6,0.6246,0.7491,0.1667,1.0,8,1,False,False
26,frame_0077.jpg,30.8,0.623,0.6941,0.3333,0.88,8,2,False,False
27,frame_0114.jpg,45.6,0.6192,0.7264,0.6667,0.28,9,4,False,False
28,frame_0377.jpg,150.8,0.6163,0.6846,0.8333,0.12,11,5,False,False
29,frame_0379.jpg,151.6,0.6122,0.8084,0.6667,0.04,11,4,False,False
30,frame_0115.jpg,46.0,0.6087,0.6894,0.6667,0.32,9,4,False,False
31,frame_0083.jpg,33.2,0.6053,0.6546,0.5,0.64,9,3,False,False
32,frame_0003.jpg,1.2,0.6005,0.601,0.3333,1.0,8,2,False,False
33,frame_0080.jpg,32.0,0.5994,0.4947,0.6667,0.76,9,4,False,False
34,frame_0026.jpg,10.4,0.5983,0.5967,0.3333,1.0,5,2,False,False
35,frame_0298.jpg,119.2,0.5976,0.6712,0.5,0.56,7,3,False,False
